Name,Company,Role,Source
Alan Kopin,"AUTTX, LLC",Co-Founder & Chief Executive Officer,https://alsunitedct.org/collaboration-driving-momentum-in-als-research/
Alan Kopin,On Target Therapeutics,Co-Founder & Chief Scientific Officer,https://www.ottx.bio/contact
Alan Kopin,Quiver Bioscience,Scientific Advisory Board Member,https://www.zoominfo.com/p/Alan-Kopin/436981079
Alan Kopin,Kopinetics Inc,Founder and President,https://www.ussearch.com/people-search/alan-kopin/
Barry Sherman,Genentech,Senior Vice President & first Chief Medical Officer,https://www.prnewswire.com/news-releases/jennerex-appoints-barry-sherman-md-to-board-of-directors-108650479.html
Barry Sherman,BiPar Sciences,Executive Vice President & Co-Founder,https://www.prnewswire.com/news-releases/jennerex-appoints-barry-sherman-md-to-board-of-directors-108650479.html
Barry Sherman,Anergen Inc.,President & Chief Executive Officer,https://www.prnewswire.com/news-releases/jennerex-appoints-barry-sherman-md-to-board-of-directors-108650479.html
Barry Sherman,"Pain Therapeutics, Inc.",Founder,https://www.prnewswire.com/news-releases/jennerex-appoints-barry-sherman-md-to-board-of-directors-108650479.html
Barry Sherman,"Jennerex, Inc.",Board Member,https://www.prnewswire.com/news-releases/jennerex-appoints-barry-sherman-md-to-board-of-directors-108650479.html
Barry Sherman,"AntriaBio, Inc.",Board Member,https://ir.rezolutebio.com/news/detail/184/antriabio-appoints-barry-sherman-m-d-to-its-board-of-directors
Dennis Slamon,BioMarin Pharmaceutical,Board Member,https://www.biomarin.com/news/press-releases/biomarin-appoints-pioneer-in-personalized-medicine-dennis-j-slamon-m-d-ph-d-to-board-of-directors/
Dennis Slamon,TORL BioTherapeutics LLC,Co-Founder,https://tdg.ucla.edu/torl-biotherapeutics-launches-158-million-series-b-financing-advance-development-novel-oncology
