nct_id,drug_name,approval_type,approval_date,approval_year,sponsor
NCT01794078,Aminophylline 400 mg,ORIG,20000714,2000,BECTON DICKINSON CO
NCT01794078,Ambrisentan 5 mg,SUPPL,19930916,1993,ORGANON
NCT02708680,Atezolizumab,SUPPL,20251117,2025,GENENTECH INC
NCT00875238,doxorubicin hydrochloride,SUPPL,20171221,2017,KENVUE BRANDS
NCT03592901,brachial plexus anesthesia,ORIG,20050419,2005,HIKMA
NCT01728142,brachial plexus anesthesia,ORIG,20050419,2005,HIKMA
NCT01728129,brachial plexus anesthesia,ORIG,20050419,2005,HIKMA
NCT00639431,brachial plexus anesthesia,ORIG,20050419,2005,HIKMA
NCT00384579,brachial plexus anesthesia,ORIG,20050419,2005,HIKMA
NCT00384579,Botulinum toxin B,SUPPL,20190301,2019,HERITAGE PHARMA
NCT00384371,brachial plexus anesthesia,ORIG,20050419,2005,HIKMA
NCT00384371,Botulinum toxin B,SUPPL,20190301,2019,HERITAGE PHARMA
NCT00384371,Botulinum Toxin A,ORIG,20210210,2021,NEPHRON
NCT00301444,brachial plexus anesthesia,ORIG,20050419,2005,HIKMA
NCT00301444,Botulinum toxin B,SUPPL,20190301,2019,HERITAGE PHARMA
NCT00301444,Botulinum Toxin A,ORIG,20210210,2021,NEPHRON
NCT00569010,Azacitidine,ORIG,20250520,2025,RELIANCE LIFE
NCT00569010,Ara-C,SUPPL,20240909,2024,MCPRF
NCT00357708,Azacitidine,ORIG,20250520,2025,RELIANCE LIFE
NCT00357708,Ara-C,SUPPL,20240909,2024,MCPRF
NCT00357708,decitabine,ORIG,20210702,2021,MEITHEAL
NCT00357708,vorinostat,SUPPL,20151217,2015,MSD SUB MERCK
NCT00114257,Azacitidine,ORIG,20250520,2025,RELIANCE LIFE
NCT00114257,Ara-C,SUPPL,20240909,2024,MCPRF
NCT00114257,decitabine,ORIG,20210702,2021,MEITHEAL
NCT00114257,vorinostat,SUPPL,20151217,2015,MSD SUB MERCK
NCT00114257,romidepsin,ORIG,20211012,2021,FRESENIUS KABI USA
NCT00054431,Azacitidine,ORIG,20250520,2025,RELIANCE LIFE
NCT00054431,Ara-C,SUPPL,20240909,2024,MCPRF
NCT00054431,decitabine,ORIG,20210702,2021,MEITHEAL
NCT00054431,vorinostat,SUPPL,20151217,2015,MSD SUB MERCK
NCT00054431,romidepsin,ORIG,20211012,2021,FRESENIUS KABI USA
NCT00054431,imatinib mesylate,ORIG,20250430,2025,SATSUMA PHARMS
NCT03197623,LLP2A-ALENDRONATE,ORIG,20230511,2023,NOVITIUM PHARMA
NCT03178955,LLP2A-ALENDRONATE,ORIG,20230511,2023,NOVITIUM PHARMA
NCT03178955,Etanercept,SUPPL,20020115,2002,IMMUNEX
NCT01766674,LLP2A-ALENDRONATE,ORIG,20230511,2023,NOVITIUM PHARMA
NCT01766674,Etanercept,SUPPL,20020115,2002,IMMUNEX
NCT00221299,LLP2A-ALENDRONATE,ORIG,20230511,2023,NOVITIUM PHARMA
NCT00221299,Etanercept,SUPPL,20020115,2002,IMMUNEX
NCT00221299,Risedronate,SUPPL,20260608,2026,AUROBINDO PHARMA LTD
NCT00221299,Parathyroid Hormone,ORIG,19811105,1981,PADAGIS US
NCT00000425,LLP2A-ALENDRONATE,ORIG,20230511,2023,NOVITIUM PHARMA
NCT00000425,Etanercept,SUPPL,20020115,2002,IMMUNEX
