Name,Institution,Role,Leadership Type,Start Year,End Year,Source
Joseph Bloomer,American Association for the Study of Liver Diseases (AASLD),President,Research & Education Leadership,1999,1999,https://www.aasld.org/past-aasld-presidents
Joseph Bloomer,University of Alabama at Birmingham (UAB) Liver Center,Director,Executive Leadership,1995,2016,https://www.dignitymemorial.com/obituaries/pelham-al/joseph-bloomer-10498852
Joseph Bloomer,University of Minnesota,"Division Director (Gastroenterology, Hepatology & Nutrition)",Executive Leadership,1979,1995,https://pmc.ncbi.nlm.nih.gov/articles/PMC12323471/
Koji Yasutomo,"Tokushima University, Institute of Photonics and Human Health Frontier",Chief Research Officer,Research & Education Leadership,,,https://www.eurekalert.org/news-releases/1133220
Koji Yasutomo,Japanese Society for Immunology,"Chair, General Affairs Committee",Research & Education Leadership,2025,,https://www.jsi-men-eki.org/2025/01/06/message-from-the-president/
Louise Laurent,"UC San Diego Department of Obstetrics, Gynecology & Reproductive Sciences",Director of Perinatal Research,Research & Education Leadership,,,https://obgyn.ucsd.edu/research/center-for-obgyn-research-innovation/leadership/index.html
Louise Laurent,UC San Diego Center for Perinatal Discovery,Co-Director,Research & Education Leadership,,,https://obgyn.ucsd.edu/research/center-for-obgyn-research-innovation/leadership/index.html
Maria Basil,"California Institute for Regenerative Medicine (CIRM), Grants Working Group",Member,Government & Policy Leadership,2025,,https://www.cirm.ca.gov/wp-content/uploads/2025/06/7.-250626-GWG-Appointments-and-Reappointments.pdf
Naftali Kaminski,"Yale School of Medicine, Pulmonary, Critical Care and Sleep Medicine",Chief,Executive Leadership,2013,2026,https://medicine.yale.edu/profile/naftali-kaminski/
Naftali Kaminski,"University of Pittsburgh, Dorothy P. and Richard P. Simmons Center for Interstitial Lung Disease",Founding Director,Research & Education Leadership,,2013,https://www.managedhealthcareexecutive.com/view/a-conversation-with-naftali-kaminski-m-d-chief-of-pulmonary-critical-care-and-sleep-medicine-at-yale-school-of-medicine
Naftali Kaminski,"Association of Pulmonary, Critical Care and Sleep Division Chiefs",President,Research & Education Leadership,,,https://www.doximity.com/cv/naftalikaminskimd
Naftali Kaminski,Thorax (BMJ),Deputy Editor,Research & Education Leadership,,,https://medicine.yale.edu/intmed/profile/naftali-kaminski/
Naftali Kaminski,American Journal of Respiratory and Critical Care Medicine,Associate Editor,Research & Education Leadership,,,https://medicine.yale.edu/intmed/profile/naftali-kaminski/
Naftali Kaminski,"American Thoracic Society, Assembly on Respiratory, Cell and Molecular Biology",Chair,Research & Education Leadership,,,https://medicine.yale.edu/intmed/profile/naftali-kaminski/
Nancy Lane,UC Davis Center for Musculoskeletal Health,Director,Executive Leadership,2011,2020,https://ias.tau.ac.il/Prof_Nancy_Lane
Nancy Lane,UC Davis Center for Healthy Aging,Director,Executive Leadership,2005,2010,https://ias.tau.ac.il/Prof_Nancy_Lane
Nancy Lane,"U.S. FDA Advisory Committee, Arthritis, Allergy and Immunology Section",Member,Government & Policy Leadership,2011,,https://physicians.ucdavis.edu/Custom/PhysicianFileUploads/CVUploads/CVLane8202021-01192022194641-1004.pdf
Nancy Lane,Arthritis and Rheumatism (journal),Co-Editor,Research & Education Leadership,2005,2010,https://health.ucdavis.edu/publish/providerbio/internalmedicine/1004
Nancy Lane,NIAMS Centers of Excellence in Musculoskeletal Diseases Core Centers Review Group,Chairperson,Government & Policy Leadership,,,https://physicians.ucdavis.edu/Custom/PhysicianFileUploads/CVUploads/CVLane8202021-01192022194641-1004.pdf
Norman Edelman,American Lung Association,Chief Medical Officer,Executive Leadership,1996,2021,https://www.huffpost.com/author/norman-h-edelman-md
Norman Edelman,SUNY Stony Brook University,"Dean, School of Medicine / VP Health Sciences",Executive Leadership,1996,2006,https://publichealth.stonybrookmedicine.edu/faculty/NormanEdelman
Norman Edelman,UMDNJ-Robert Wood Johnson Medical School,Dean,Executive Leadership,1987,1995,https://publichealth.stonybrookmedicine.edu/faculty/NormanEdelman
Norman Edelman,National Commission on Sleep Disorders Research,Member,Government & Policy Leadership,1990,,https://www.webmd.com/bio/norman-h-edelman
Orlando Gutierrez,"University of Alabama at Birmingham (UAB), Division of Nephrology",Director,Executive Leadership,2021,,https://uab.edu/medicine/nephrology/news-events/new-division-director
Orlando Gutierrez,UAB Heersink School of Medicine,Senior Associate Dean for Clinical and Translational Research,Executive Leadership,2024,,https://www.uab.edu/medicine/news/latest-news/announcing-research-leadership-changes-in-the-heersink-school-of-medicine
Orlando Gutierrez,UAB Center for Clinical and Translational Science (CCTS),Director,Research & Education Leadership,2024,,https://www.uab.edu/medicine/news/latest-news/announcing-research-leadership-changes-in-the-heersink-school-of-medicine
Oscar Ratnoff,American Society of Hematology,President,Research & Education Leadership,1974,1975,https://www.jthjournal.org/article/S1538-7836(22)12739-X/fulltext
Oscar Ratnoff,"Case Western Reserve University, Division of Hematology and Oncology",Division Chief,Executive Leadership,,,https://ashpublications.org/thehematologist/article/doi/10.1182/hem.V5.4.1300/462076/Oscar-D-Ratnoff-MD-1916-2008
Oscar Ratnoff,"Case Western Reserve University, Department of Medicine",Interim Chairman,Executive Leadership,,,https://ashpublications.org/thehematologist/article/doi/10.1182/hem.V5.4.1300/462076/Oscar-D-Ratnoff-MD-1916-2008
Oscar Ratnoff,National Academy of Sciences,Elected Member,Research & Education Leadership,,,https://en.wikipedia.org/wiki/Oscar_Ratnoff
Peter Cram,"University of Iowa, Division of General Internal Medicine",Director,Executive Leadership,2010,2013,https://www.ices.on.ca/ices-scientists/peter-cram/
Peter Cram,"Sinai Health System / University Health Network, Division of General Internal Medicine and Geriatrics (University of Toronto)",Director,Executive Leadership,2014,2021,https://projects.iq.harvard.edu/ihsrc/people/peter-cram
Don H. Nelson,"University of Utah, Department of Endocrinology",Chairman,Executive Leadership,,,https://www.deseret.com/2010/1/13/20364205/retired-university-of-utah-endocrinologist-don-h-nelson-dies-at-84/
Don H. Nelson,LDS Hospital,Chief of Medicine,Executive Leadership,,,https://www.deseret.com/2010/1/13/20364205/retired-university-of-utah-endocrinologist-don-h-nelson-dies-at-84/
