Name,Institution,Role,Leadership Type,Start Year,End Year,Source
Susan Wall,"Emory University, Renal Division",Scientific Director,Research & Education Leadership,,,https://med.emory.edu/departments/medicine/divisions/renal-medicine/research/labs/walls/index.html
Susan Wall,"NIH Center for Scientific Review, Cellular and Molecular Biology of the Kidney (CMBK) Study Section",Regular Member,Government & Policy Leadership,,,https://providers.emoryhealthcare.org/provider/Susan+M+Wall/778235
Warren Gold,"UCSF, Cardiovascular Research Institute, Adult Pulmonary Laboratories",Director,Research & Education Leadership,1980,,https://prevention.ucsf.edu/people/warren-gold
William L. Hwang,"Mass General Brigham Cancer Institute, Radiation Biology & Research Program",Associate Director,Research & Education Leadership,,,https://www.massgeneral.org/cancer-center/clinical-trials-and-research/center-for-cancer-research/investigators/hwang-lab
G.R. Budinger,"Northwestern University, Feinberg School of Medicine, Division of Pulmonary and Critical Care",Chief,Executive Leadership,,,https://www.medicine.northwestern.edu/divisions/pulmonary-critical-care/index.html
G.R. Budinger,"Northwestern University, Simpson Querrey Lung Institute for Translational Science",Director,Research & Education Leadership,,,https://labs.feinberg.northwestern.edu/budinger/index.html
Ching-Hon Pui,"St. Jude Children's Research Hospital, Department of Oncology",Chair,Executive Leadership,,,https://www.stjude.org/inspire/news/st-jude-researcher-chinghon-pui-md-honored-for-contributions-in-treatment-of-pediatric-blood-cancers.html
Ching-Hon Pui,"St. Jude Children's Research Hospital, Hematological Malignancies Program",Co-Leader,Research & Education Leadership,,,https://acsjournals.onlinelibrary.wiley.com/doi/10.1002/cncr.33358
Ching-Hon Pui,Society of Hematologic Oncology,President,Research & Education Leadership,2019,2019,https://acsjournals.onlinelibrary.wiley.com/doi/10.1002/cncr.33358
Sudhir V. Shah,"Smt. NHL Municipal Medical College & SVPIMSR, Department of Neurology",Professor and Head,Executive Leadership,,,https://en.wikipedia.org/wiki/Sudhir_V._Shah
Sudhir V. Shah,Sterling Hospitals,Director of Neurosciences,Executive Leadership,2004,,https://imsrn.icmr.org.in/dr-sudhir-v-shah/
Sudhir V. Shah,Office of the Governor of Gujarat,Honorary Neurologist,Government & Policy Leadership,1994,,https://chaitanyamadvancedneurologycentre.com/about-us/
Sudhir V. Shah,Indian Academy of Neurology,Past Executive Committee Member,Research & Education Leadership,,,https://imsrn.icmr.org.in/dr-sudhir-v-shah/
