Name,Institution,Role,Leadership Type,Start Year,End Year,Source
Rasheed Gbadegesin,Duke University School of Medicine,"Chief, Division of Pediatric Nephrology",Research & Education Leadership,2025,,https://pediatrics.duke.edu/news/gbadegesin-named-chief-division-pediatric-nephrology
Rasheed Gbadegesin,"Duke University School of Medicine, Office of Physician-Scientist Development",Associate Dean,Research & Education Leadership,2018,,https://ctsi.duke.edu/node/941
Rasheed Gbadegesin,Association of American Physicians,Elected Member,Research & Education Leadership,,,https://pediatrics.duke.edu/divisions/nephrology/news
Reshma Jagsi,Emory University School of Medicine,"Chair, Department of Radiation Oncology",Research & Education Leadership,2022,,https://news.emory.edu/stories/2022/09/som_jagsi_new_chair_emory_radiation_oncology/story.html
Reshma Jagsi,University of Michigan,"Director, Center for Bioethics and Social Sciences in Medicine",Research & Education Leadership,,2022,https://med.emory.edu/departments/radiation-oncology/news/2022/jagsi-named-new-department-chair.html
Reshma Jagsi,American Society of Clinical Oncology,Board Member,Research & Education Leadership,,,https://amportal.astro.org/reshma-jagsi-md-phd-fastro-35156423
Reshma Jagsi,American Society for Radiation Oncology,"Chair, Ethics Committee",Research & Education Leadership,,,https://amportal.astro.org/reshma-jagsi-md-phd-fastro-35156423
Reshma Jagsi,American Society for Radiation Oncology,"Chair, Women in Radiation Oncology Group",Research & Education Leadership,,,https://amportal.astro.org/reshma-jagsi-md-phd-fastro-35156423
Reshma Jagsi,NIH Advisory Committee on Research on Women's Health,Chair,Government & Policy Leadership,,,https://winshipcancer.emory.edu/newsroom/articles/2022/jagsi-named-chair-of-emory-radiation-oncology.php
Reshma Jagsi,"National Academies of Sciences, Engineering, and Medicine","Chair, Committee on Women in STEMM",Research & Education Leadership,,,https://winshipcancer.emory.edu/newsroom/articles/2022/jagsi-named-chair-of-emory-radiation-oncology.php
Reshma Jagsi,JAMA Oncology,Editor,Research & Education Leadership,,,https://amportal.astro.org/reshma-jagsi-md-phd-fastro-35156423
Reshma Jagsi,American Society for Clinical Investigation,Elected Member,Research & Education Leadership,,,https://winshipcancer.emory.edu/newsroom/articles/2022/jagsi-named-chair-of-emory-radiation-oncology.php
Reshma Jagsi,Association of American Physicians,Elected Member,Research & Education Leadership,,,https://winshipcancer.emory.edu/newsroom/articles/2022/jagsi-named-chair-of-emory-radiation-oncology.php
Robert Baloh,Cedars-Sinai Medical Center,"Director, Neuromuscular Division",Research & Education Leadership,2012,,https://www.newswise.com/articles/neuromuscular-disease-expert-robert-h-baloh-md-phd-joins-cedars-sinai-medical-center-to-advance-lou-gehrig-s-disease-research
Sarat Chandarlapaty,MSK Breast SPORE (NIH/NCI),"Director, Developmental Research Program",Research & Education Leadership,,,https://www.mskcc.org/research-programs/msk-spore-genomic-instability-breast/developmental-research
Sarat Chandarlapaty,MSK SPORE in Genomic Instability in Breast Cancer,Clinical Co-Leader,Research & Education Leadership,,,https://dctd.cancer.gov/research/spores/state/genomic-instability-breast-sloan-kettering
Sarat Chandarlapaty,Breast Cancer Research Foundation,Scientific Advisory Board Member,Research & Education Leadership,2019,,https://gradschool.weill.cornell.edu/faculty/sarat-chandarlapaty
Sarat Chandarlapaty,Breast Cancer Research Foundation,"Chair, Scientific Advisory Board",Research & Education Leadership,2023,2025,https://gradschool.weill.cornell.edu/faculty/sarat-chandarlapaty
Sarat Chandarlapaty,npj Breast Cancer (Nature),Editor,Research & Education Leadership,,,https://www.nature.com/npjbcancer/editors
Sarat Chandarlapaty,American Society for Clinical Investigation,Elected Member,Research & Education Leadership,,,https://gradschool.weill.cornell.edu/faculty/sarat-chandarlapaty
Shyamasundaran Kottilil,"University of Maryland School of Medicine, Institute of Human Virology","Director, Division of Clinical Care and Research",Research & Education Leadership,2014,,https://www.prnewswire.com/news-releases/institute-of-human-virology-ihv-welcomes-renowned-infectious-disease-specialist-dr-shyamasundaran-kottilil-277494321.html
Shyamasundaran Kottilil,University of Maryland School of Medicine,"Chief, Division of Infectious Diseases",Research & Education Leadership,,,https://www.medschool.umaryland.edu/profiles/kottilil-shyamasundaran-shyam/
Shyamasundaran Kottilil,NIH-District of Columbia Partnership for AIDS Progress,Scientific Director,Government & Policy Leadership,2009,,https://www.prnewswire.com/news-releases/institute-of-human-virology-ihv-welcomes-renowned-infectious-disease-specialist-dr-shyamasundaran-kottilil-277494321.html
Shyamasundaran Kottilil,US National Hepatitis C Treatment Guidance Panel,Founding Member,Government & Policy Leadership,,,https://www.medschool.umaryland.edu/profiles/kottilil-shyamasundaran-shyam/
Shyamasundaran Kottilil,American Society for Clinical Investigation,Elected Member,Research & Education Leadership,,,https://www.umms.org/find-a-doctor/profiles/dr-shyamasundaran-kottilil-md-1891924619
Soumya Raychaudhuri,Brigham and Women's Hospital / Harvard Medical School,"Director, Center for Data Sciences",Research & Education Leadership,,,https://www.broadinstitute.org/bios/soumya-raychaudhuri
Soumya Raychaudhuri,American Society for Clinical Investigation,Elected Member,Research & Education Leadership,2016,,https://grokipedia.com/page/soumya_raychaudhuri
Soumya Raychaudhuri,International Genetics of Rheumatoid Arthritis Consortium,Leader,Research & Education Leadership,,,https://www.broadinstitute.org/bios/soumya-raychaudhuri
Trever Bivona,NIH/NCI U54 Bay Area Drug Resistance and Sensitivity Center,Principal Investigator,Research & Education Leadership,,,https://profiles.ucsf.edu/trever.bivona
Trever Bivona,Chan-Zuckerberg Biohub,Senior Investigator,Research & Education Leadership,,,https://cancer.ucsf.edu/people/bivona.trever
Trever Bivona,American Society for Clinical Investigation,Elected Member,Research & Education Leadership,,,https://profiles.ucsf.edu/trever.bivona
Vineet Arora,University of Chicago Pritzker School of Medicine,Dean for Medical Education,Research & Education Leadership,2021,,https://www.uchicagomedicine.org/forefront/news/vineet-arora-appointed-dean-for-medical-education
Vineet Arora,University of Chicago Medicine,Associate Chief Medical Officer,Executive Leadership,,2021,https://www.uchicagomedicine.org/forefront/news/vineet-arora-appointed-dean-for-medical-education
Vineet Arora,American Board of Internal Medicine,Board Member,Research & Education Leadership,,,https://www.uchicagomedicine.org/forefront/news/vineet-arora-appointed-dean-for-medical-education
Vineet Arora,The Joint Commission,Board Member,Government & Policy Leadership,,,https://www.uchicagomedicine.org/forefront/news/vineet-arora-appointed-dean-for-medical-education
Vineet Arora,National Academy of Medicine,Elected Member,Research & Education Leadership,2019,,https://en.wikipedia.org/wiki/Vineet_M._Arora
Wonder Drake,University of Maryland School of Medicine,Senior Associate Dean for Faculty Affairs,Research & Education Leadership,2023,,https://www.medschool.umaryland.edu/news/2023/dr-wonder-puryear-drake-appointed-to-the-role-of-senior-associate-dean-for-faculty-affairs-and-director-of-new-center-of-excellence-at-um-school-of-medicine.html
Wonder Drake,University of Maryland School of Medicine,"Director, Sarcoidosis Center of Excellence",Research & Education Leadership,2023,,https://www.medschool.umaryland.edu/news/2023/dr-wonder-puryear-drake-appointed-to-the-role-of-senior-associate-dean-for-faculty-affairs-and-director-of-new-center-of-excellence-at-um-school-of-medicine.html
Wonder Drake,Vanderbilt University School of Medicine,"Founding Director, Sarcoidosis Center of Excellence",Research & Education Leadership,2016,2023,https://news.vumc.org/2016/11/17/sarcoidosis-research-patient-care-focus-of-newly-created-center/
Wonder Drake,NIH National Institute of Allergy and Infectious Diseases,Board of Scientific Counselors Member,Government & Policy Leadership,,,https://www.medschool.umaryland.edu/profiles/drake-wonder/
Wonder Drake,NIH Center for Scientific Review,"Chair, LCMI Study Section",Research & Education Leadership,,,https://wasog.org/action/blocks/block/128/wonder-drake/
Wonder Drake,American Journal of Respiratory and Critical Care Medicine,Editorial Board Member,Research & Education Leadership,,,https://www.medschool.umaryland.edu/profiles/drake-wonder/
Wonder Drake,American Society for Clinical Investigation,Elected Member,Research & Education Leadership,,,https://www.medschool.umaryland.edu/profiles/drake-wonder/
Wonder Drake,Association of American Physicians,Elected Member,Research & Education Leadership,,,https://www.medschool.umaryland.edu/profiles/drake-wonder/
Alexander Soukas,"Harvard Medical School, Nutrition Obesity Research Center","Director, Metabolic Phenotyping Core",Research & Education Leadership,,,https://www.soukas.org/
Alexander Soukas,Boston Area Diabetes Endocrinology Research Center,Associate Director,Research & Education Leadership,,,https://www.baderc.org/alexander-soukas-md-phd/
Alexander Soukas,American Society for Clinical Investigation,Elected Member,Research & Education Leadership,,,https://the-asci.org/controllers/asci/AsciProfileController.php?pid=501751
