Name,Institution,Role,Leadership Type,Start Year,End Year,Source
Aaron Cypess,"National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK), NIH","Section Chief, Translational Physiology Section",Government & Policy Leadership,2014,Present,https://irp.nih.gov/pi/aaron-cypess
Agata Smogorzewska,The Rockefeller University,"Director, Marlene Hess Center for Research on Women's Health and Biomedicine",Executive Leadership,2023,Present,https://www.rockefeller.edu/our-scientists/heads-of-laboratories/976-agata-smogorzewska/
Agata Smogorzewska,Weill Cornell/Rockefeller/Sloan Kettering Tri-Institutional MD-PhD Program,Institutional Associate Director,Executive Leadership,Not specified,Present,https://teach.weill.cornell.edu/mdphd/about-us/leadership-and-staff
Agata Smogorzewska,International Fanconi Anemia Registry (IFAR),Principal Investigator/Director,Research & Education Leadership,Not specified,Present,https://www.ncbi.nlm.nih.gov/clinvar/submitters/507686/
Aida Habtezion,Pfizer Inc.,Chief Medical Officer & Head of Worldwide Medical and Safety,Executive Leadership,2021,Not specified,https://www.pfizer.com/news/articles/getting_to_know_pfizer_s_new_chief_medical_officer_aida_habtezion
Aida Habtezion,Stanford University School of Medicine,Associate Dean for Academic Affairs,Research & Education Leadership,Not specified,2021,https://www.pharmexec.com/view/aida-habtezion
Aida Habtezion,American Pancreatic Association,Past President,Research & Education Leadership,2022,2022,https://www.american-pancreatic-association.org/about/
Aida Habtezion,PhRMA Foundation,Board of Directors Member,Executive Leadership,Not specified,Present,https://www.phrmafoundation.org/about/leadership/aida-habtezion-md/
Aida Habtezion,New York Academy of Sciences,Board of Governors Member,Research & Education Leadership,Not specified,Present,https://www.nyas.org/person/aida-habtezion-md-msc-frcpc-agaf/
Alessia Fornoni,University of Miami Miller School of Medicine,"Chief, Katz Family Division of Nephrology and Hypertension",Executive Leadership,Not specified,Present,https://nephcure.org/team/alessia-fornoni-md-phd/
Alessia Fornoni,"Peggy and Harold Katz Family Drug Discovery Center, University of Miami",Director and Chair,Executive Leadership,Not specified,Present,https://med.miami.edu/faculty/alessia-fornoni-md-phd-fasn
Alessia Fornoni,L&F Health LLC,Vice President and Chief Scientific Officer,Executive Leadership,Not specified,Present,https://nephcure.org/team/alessia-fornoni-md-phd/
Alessia Fornoni,Hoffmann-La Roche,"Global Head of Discovery, Cardiovascular and Metabolism",Executive Leadership,2013,Not specified,https://nephcure.org/team/alessia-fornoni-md-phd/
Alessia Fornoni,University of Miami Miller School of Medicine,Assistant Dean for Research Training and Development,Research & Education Leadership,Not specified,Present,https://med.miami.edu/faculty/alessia-fornoni-md-phd-fasn
Alessia Fornoni,Journal of the American Society of Nephrology,Deputy Editor,Research & Education Leadership,Not specified,Present,https://www.jointmeeting.org/2024JointMeeting/speaker/984806/alessia-fornoni-md-phd
Alessia Fornoni,World Congress of Nephrology 2024,Scientific Chair,Research & Education Leadership,2024,2024,https://www.jointmeeting.org/2024JointMeeting/speaker/984806/alessia-fornoni-md-phd
