Name,Institution,Role,Leadership Type,Start Year,End Year,Source
Catherine Blish,Stanford University School of Medicine,Associate Dean for Basic and Translational Research,Research & Education Leadership,2021,Present,https://grokipedia.com/page/catherine_blish
Catherine Blish,Stanford Medical Scientist Training Program (MSTP),Co-Director,Research & Education Leadership,2022,Present,https://grokipedia.com/page/catherine_blish
Conrad Weihl,Washington University School of Medicine,"Section Chief, Neuromuscular Diseases",Executive Leadership,Not specified,Present,https://bulletin.wustl.edu/medicine/departments/neurology/
Conrad Weihl,Neuromuscular Disorders (journal),Editor-in-Chief,Research & Education Leadership,Not specified,Present,https://source.washu.edu/2026/06/weihl-named-inaugural-gabe-weil-professor/
Conrad Weihl,NIH-funded ClinGen Project,"Chair, Limb-Girdle Muscular Dystrophy Expert Panel",Research & Education Leadership,Not specified,Present,https://source.washu.edu/2026/06/weihl-named-inaugural-gabe-weil-professor/
Conrad Weihl,Washington University Muscular Dystrophy Association Adult Care Clinic,Director,Executive Leadership,Not specified,Present,https://source.washu.edu/2026/06/weihl-named-inaugural-gabe-weil-professor/
Jasmohan Bajaj,American Journal of Gastroenterology,Co-Editor-in-Chief,Research & Education Leadership,2022,Present,https://medschool.vcu.edu/news/archive/jasmohan-s-bajaj-md-named-co-editor-in-chief-of-the-american-journal-of-gastroenterology/
Jasmohan Bajaj,North American Consortium for the Study of End-Stage Liver Disease (NACSELD),Chair,Research & Education Leadership,Not specified,Present,https://www.aasld.org/tlm-25/jasmohan-s-bajaj
Jasmohan Bajaj,International Society for Hepatic Encephalopathy and Nitrogen Metabolism (ISHEN),Past President,Research & Education Leadership,Not specified,Not specified,https://www.aasld.org/tlm-25/jasmohan-s-bajaj
Jasmohan Bajaj,American Association for the Study of Liver Diseases (AASLD),"Chairperson, Acute-on-Chronic Liver Failure Special Interest Group",Research & Education Leadership,Not specified,Present,https://www.aasld.org/tlm-25/jasmohan-s-bajaj
Jasmohan Bajaj,Veterans Health Administration,"Central Leadership Team Member, Liver Disease and Hepatology Faculty Advisory Board",Government & Policy Leadership,Not specified,Present,https://www.aasld.org/tlm-25/jasmohan-s-bajaj
Jeffrey Curtis,U.S. Food and Drug Administration (FDA),"Member, Arthritis Advisory Committee",Government & Policy Leadership,2015,Not specified,https://www.fastermedicine.org/jeffrey-curtis
Jeffrey Curtis,U.S. Centers for Disease Control and Prevention (CDC),"Member, ACIP Herpes Zoster Workgroup",Government & Policy Leadership,Not specified,Present,https://providerdirectory.uabmedicine.org/provider/jeff-curtis/571377
Jeffrey Curtis,University of Alabama at Birmingham,"Director, PharmacoEpidemiology and Economic Research (PEER) Unit",Executive Leadership,Not specified,Present,https://www.emedevents.com/speaker-profile/jeffrey-r-curtis
Jeffrey Curtis,University of Alabama at Birmingham,"Chair, UAB Clinical Data Innovation",Executive Leadership,Not specified,Present,https://www.uab.edu/medicine/rheumatology/about/leadership
Jeffrey Curtis,University of Alabama at Birmingham,"Director, Arthritis Clinical Intervention Program",Executive Leadership,Not specified,Present,https://www.fastermedicine.org/jeffrey-curtis
Jeffrey Curtis,FDA / Agency for Healthcare Research and Quality (AHRQ) Collaborative Project,Deputy Director,Government & Policy Leadership,Not specified,Not specified,https://www.fastermedicine.org/jeffrey-curtis
Juan Wisnivesky,Mount Sinai Health System,"System Chief, Division of General Internal Medicine",Executive Leadership,2015,Present,http://www.mountsinai.org/about-us/newsroom/press-releases/juan-wisnivesky-appointed-chief-of-the-division-of-general-internal-medicine-at-mount-sinai
Juan Wisnivesky,"National Heart, Lung, and Blood Institute (NHLBI), National Asthma Education and Prevention Program",Coordinating Committee Member,Government & Policy Leadership,Not specified,Not specified,https://profiles.mountsinai.org/juan-wisnivesky
Juan Wisnivesky,American Thoracic Society,"Chair, Health Equality Committee",Research & Education Leadership,Not specified,Present,https://profiles.mountsinai.org/juan-wisnivesky
Karl Bilimoria,Indiana University School of Medicine,"Chair, Department of Surgery",Executive Leadership,2022,Present,https://medicine.iu.edu/news/2022/04/department-of-surgery-names-new-chair
