Name,Institution,Role,Leadership Type,Start Year,End Year,Source
Dennis Slamon,UCLA (David Geffen School of Medicine),"Chief, Division of Hematology/Oncology",Executive Leadership,1996,Present,https://www.uclahealth.org/cancer/about-us/meet-our-leadership/dennis-slamon
Dennis Slamon,UCLA Jonsson Comprehensive Cancer Center,"Director, Clinical/Translational Research",Executive Leadership,1995,Present,https://www.uclahealth.org/cancer/about-us/meet-our-leadership/dennis-slamon
Dennis Slamon,President's Cancer Panel (U.S. federal government),Panel Member,Government & Policy Leadership,2000,2003,https://en.wikipedia.org/wiki/Dennis_Slamon
Dennis Slamon,Translational Research in Oncology US (TRIO-US),President,Executive Leadership,1995,Present,https://www.trio-us.org/physician/trio-us/board-of-directors
Dennis Slamon,BioMarin Pharmaceutical Inc.,Board Member,Executive Leadership,2014,Present,https://www.biomarin.com/news/press-releases/biomarin-appoints-pioneer-in-personalized-medicine-dennis-j-slamon-m-d-ph-d-to-board-of-directors/
Dennis Slamon,TORL BioTherapeutics,Board Member / Scientific Co-Founder,Executive Leadership,2018,Present,https://www.prnewswire.com/news-releases/torl-biotherapeutics-launches-with-158-million-series-b-financing-to-advance-development-of-novel-oncology-biologics-301797163.html
Dennis Slamon,1200 Pharma,Leadership Role (Board/Advisory),Executive Leadership,Not specified,Present,https://www.oncologynewscentral.com/contributor/dennis-j-slamon-md-phd
Alan Kopin,Tufts Medical Center,"Director, Molecular Pharmacology Research Center",Executive Leadership,Not specified,Not specified (25+ years),https://www.quiverbioscience.com/team/alan-kopin-md
Alan Kopin,Luke Heller TECPR2 Foundation,Chief Scientific Officer,Executive Leadership,Not specified,Not specified (3-year term),https://www.quiverbioscience.com/team/alan-kopin-md
Douglas Sawyer,Vanderbilt Heart & Vascular Institute,Physician-in-Chief,Executive Leadership,2012,2014,https://news.vumc.org/reporter-archive/sawyer-named-chief-of-cardiovascular-medicine/
Douglas Sawyer,Vanderbilt University Medical Center,"Chief, Division of Cardiovascular Medicine",Executive Leadership,2012,2014,https://news.vumc.org/reporter-archive/sawyer-named-chief-of-cardiovascular-medicine/
Douglas Sawyer,Maine Medical Center / MaineHealth,Chief of Cardiac Services,Executive Leadership,2014,2019,https://www.mainehealth.org/providers/douglas-b-sawyer-md
