researcher_name,dim_id
Aaron Cypess,ur.01142301773.01
Agata Smogorzewska,ur.01025167624.38
Aida Habtezion,ur.01217742035.31
Alessia Fornoni,ur.01201546624.28
Alexander Krupnick,ur.0711322126.72
Andrew Auerbach,ur.012057467657.83
Anna Greka,ur.01225347230.93
Ash Alizadeh,ur.01350734042.58
Bernhard Kühn,ur.0664371254.92
Beth Kirkpatrick,ur.01107067740.47
Catherine Blish,ur.01214745664.12
Conrad Weihl,ur. 0577617115.87
Euan Ashley,ur.01133605255.31
Jasmohan Bajaj,ur.0666534530.94
Jeffrey Curtis,ur.016600116463.76
Juan Wisnivesky,ur.01153662632.74
Karl Bilimoria,ur.0667114343.30
Keith Choate,ur.01125360070.51
Margaret Feeney,ur.12376200477.08
Maximilian Diehn,ur.0601674532.75
Peter Crompton,ur.0767571370.31
Rasheed Gbadegesin,ur.01126313531.68
Reshma Jagsi,ur.01221741634.15
Robert Baloh,ur.016164564537.03
Sarat Chandarlapaty,ur.0717331640.11
Shyamasundaran Kottilil,ur.014003652657.02
Soumya Raychaudhuri,ur.012114463457.52
Trever Bivona,ur.01025720552.73
Vineet Arora,ur.0715157556.43
Wonder Drake,ur.01137202377.23
Alan Kopin,ur.01342231200.09
Alexander A. Soukas,ur.015220674267.22
Allan Detsky,ur.016210700061.88
Anna Diehl,ur.015257754217.12
Barry Sherman,ur.01121275741.16
Brent Hollenbeck,ur.01170431256.00
Claude Piantadosi,ur.01014355663.67
Dennis Slamon,ur.0736251043.00
Don Nelson,ur.0103517360.62
Douglas Sawyer,ur.013035166157.28
Ganesh Raj,ur.0652313457.50
Harvey Marver,ur.0103350205.47
Jack Tsao,ur.01313456617.76
James Lemos,ur.01016045030.57
Jean-Pierre Issa,ur.01311723006.34
Joseph Bloomer,ur.0632744370.98
Joseph Goldstein,ur.010676220462.77
Kenneth Mandl,ur.01215303575.18
Koji Yasutomo,ur.01171407151.99
Louise Laurent,ur.01144532407.30
Margaret Koziel,ur.01276243605.84
Maria Basil,ur.07427726171.80
Naftali Kaminski,ur.01024242551.73
Nancy Lane,ur.01267265101.68
Norman Edelman,ur.01044260057.11
Orlando Gutierrez,ur.0660305716.61
Oscar Ratnoff,ur.01347036536.48
Peter Cram,ur.01310023642.44
Peter Macklem,ur.0627425541.59
Randall Urban,ur.01132126124.77
Robert Couch,ur.0772774755.80
Robert Eaton,ur.0111536235.30
Ronald Rieder,ur.01171003553.35
Sanford Shattil,ur.0103102412.32
Stephen Baum,ur.01064121240.33
Stephen Desiderio,ur.0716074762.94
Stephen Gottschalk,ur.07515326137.05
Sudhir Shah,ur.01306632303.11
Susan Wall,ur.01167624106.52
Warren Gold,ur.0640745033.79
William Hwang,ur.015476702652.66
William Tap,ur.0732525354.50
G.R. Budinger,ur.01217674224.51
Ching-Hon Pui,ur.012202026677.65
