researcher_name,oa_id
Aaron Cypess,A5067028169
Agata Smogorzewska,A5073054152
Aida Habtezion,A5019899805
Alessia Fornoni,A5021600258
Alexander Krupnick,A5073923248
Andrew Auerbach,A5045146638
Anna Greka,A5039241874
Ash Alizadeh,A5007420876
Bernhard Kühn,A5103201384
Beth Kirkpatrick,A5010472783
Catherine Blish,A5080080229
Conrad Weihl,A5036269641
Euan Ashley,A5075711252
Jasmohan Bajaj,A5067770887
Jeffrey Curtis,A5000754711
Juan Wisnivesky,A5033612339
Karl Bilimoria,A5023012457
Keith Choate,A5078194505
Margaret Feeney,A5064818425
Maximilian Diehn,A5001873561
Peter Crompton,A5050452200
Rasheed Gbadegesin,A5029478274
Reshma Jagsi,A5076973801
Robert Baloh,A5110048601
Sarat Chandarlapaty,A5041961484
Shyamasundaran Kottilil,A5043752885
Soumya Raychaudhuri,A5081489856
Trever Bivona,A5004509086
Vineet Arora,A5038649068
Wonder Drake,A5035624344
Alan Kopin,A5082620506
Alan Kopin,A5093196915
Alexander A. Soukas,A5002538089
Alexander A. Soukas,A5108125286
Allan Detsky,A5012295293
Anna Diehl,A5020766248
Anna Diehl,A5103814133
Anna Diehl,A5111720852
Anna Diehl,A5121760924
Anna Diehl,A5124804073
Anna Diehl,A5125722301
Anna Diehl,A5129387051
Barry Sherman,A5111585354
Brent Hollenbeck,A5000093901
Brent Hollenbeck,A5003196207
Brent Hollenbeck,A5122742072
Brent Hollenbeck,A5125897294
Brent Hollenbeck,A5126854707
Brent Hollenbeck,A5132542216
Ching-Hon Pui,A5096760205
Ching-Hon Pui,A5111629964
Ching-Hon Pui,A5112078671
Ching-Hon Pui,A5122155135
Ching-Hon Pui,A5125574347
Ching-Hon Pui,A5125727809
Ching-Hon Pui,A5130674680
Claude Piantadosi,A5070009351
Dennis Slamon,A5015491002
Dennis Slamon,A5018623552
Dennis Slamon,A5058228028
Dennis Slamon,A5112083664
Dennis Slamon,A5125199531
Dennis Slamon,A5129543840
Don Nelson,A5112624451
Douglas Sawyer,A5004226219
Douglas Sawyer,A5005457612
Douglas Sawyer,A5055694342
Douglas Sawyer,A5105972364
Douglas Sawyer,A5124985233
Douglas Sawyer,A5129371569
Douglas Sawyer,A5129531713
G.R. Budinger,A5042138333
G.R. Budinger,A5122964556
Ganesh Raj,A5053069471
Harvey Marver,A5062589961
Harvey Marver,A5105078076
Jack Tsao,A5102763548
Jack Tsao,A5124404418
James Lemos,A5072480994
Jean-Pierre Issa,A5128211973
Jean-Pierre Issa,A5128623938
Jean-Pierre Issa,A5129631198
Joseph Bloomer,A5108549221
Joseph Goldstein,A5058164552
Kenneth Mandl,A5018662278
Kenneth Mandl,A5104489353
Kenneth Mandl,A5112360312
Kenneth Mandl,A5120751746
Kenneth Mandl,A5125157975
Kenneth Mandl,A5126694754
Kenneth Mandl,A5128471527
Kenneth Mandl,A5130753968
Koji Yasutomo,A5085603605
Louise Laurent,A5043517950
Louise Laurent,A5058320505
Louise Laurent,A5082726865
Louise Laurent,A5110955737
Louise Laurent,A5114173941
Louise Laurent,A5122561786
Louise Laurent,A5125087150
Louise Laurent,A5129154244
Louise Laurent,A5130375518
Margaret Koziel,A5112577365
Maria Basil,A5064965148
Maria Basil,A5109485430
Maria Basil,A5129031136
Naftali Kaminski,A5088823841
Naftali Kaminski,A5123606646
Naftali Kaminski,A5123765301
Naftali Kaminski,A5123985256
Naftali Kaminski,A5125661478
Naftali Kaminski,A5126233974
Naftali Kaminski,A5126725635
Naftali Kaminski,A5129032979
Nancy Lane,A5048894863
Norman Edelman,A5103913440
Orlando Gutierrez,A5041495874
Oscar Ratnoff,A5045639353
Oscar Ratnoff,A5111859718
Peter Cram,A5071026390
Peter Cram,A5112759631
Peter Macklem,A5031157213
Peter Macklem,A5066367926
Peter Macklem,A5120103602
Peter Macklem,A5120106494
Randall Urban,A5048481221
Randall Urban,A5108232279
Robert Couch,A5000498682
Robert Couch,A5109127442
Robert Couch,A5112016847
Robert Eaton,A5044416133
Robert Eaton,A5073555569
Robert Eaton,A5111484528
Ronald Rieder,A5113639421
Sanford Shattil,A5060459487
Sanford Shattil,A5108277896
Stephen Baum,A5055306602
Stephen Baum,A5105470224
Stephen Desiderio,A5026873741
Stephen Gottschalk,A5056105964
Sudhir Shah,A5071003499
Susan Wall,A5077054401
Susan Wall,A5121350265
Warren Gold,A5111588958
William Hwang,A5008909013
William Tap,A5031037291
William Tap,A5041268411
William Tap,A5124726078
William Tap,A5126875934
William Tap,A5128731937
William Tap,A5128844128
William Tap,A5130269859
