name,id,disambiguated_id
Alan Kopin,['ur.01342231200.09'],ur.01342231200.09
Alexander A. Soukas,['ur.015220674267.22'],ur.015220674267.22
Allan Detsky,"['ur.016210700061.88', 'ur.014466226062.29']",ur.016210700061.88
Anna Diehl,"['ur.015154535305.28', 'ur.011471422504.60', 'ur.010076461504.35', 'ur.015257754217.12', 'ur.013351316062.33', 'ur.012033143733.09', 'ur.010674042104.16']",ur.015257754217.12
Barry Sherman,"['ur.0720775227.18', 'ur.0764077325.22', 'ur.010262642632.77', 'ur.01121275741.16', 'ur.01364402376.75', 'ur.013415174454.99', 'ur.016375557306.78', 'ur.053713462.05', 'ur.073425301.64']",ur.01121275741.16
Brent Hollenbeck,"['ur.013760570657.18', 'ur.01170431256.00', 'ur.016364632177.62']",ur.01170431256.00
Claude Piantadosi,"['ur.01014355663.67', 'ur.016661277507.47']",ur.01014355663.67
Dennis Slamon,"['ur.01014355663.67', 'ur.016661277507.47']",ur.0736251043.00
Don Nelson,"['ur.016661533673.37', 'ur.015304042772.75', 'ur.01262414632.06', 'ur.012760702417.75', 'ur.067136077.50', 'ur.012502620027.52', 'ur.012453142371.26', 'ur.010112324033.50', 'ur.0101313312.53', 'ur.0103517360.62', 'ur.074401202.73', 'ur.010555610135.55', 'ur.012356142232.37', 'ur.015721165553.44']",ur.0103517360.62
Douglas Sawyer,"['ur.01364434734.91', 'ur.0663273016.86', 'ur.01274014633.46', 'ur.013035166157.28', 'ur.011537245400.51', 'ur.010034364051.87', 'ur.013712415771.89']",ur.013035166157.28
Ganesh Raj,"['ur.014326717126.00', 'ur.016144142624.44', 'ur.011733447527.18', 'ur.0652313457.50']",ur.0652313457.50
Harvey Marver,['ur.0103350205.47'],ur.0103350205.47
Jack Tsao,"['ur.01326224520.79', 'ur.015555721773.48', 'ur.011170470725.42', 'ur.013463733415.56', 'ur.014366040501.20', 'ur.014035747652.61', 'ur.01313456617.76']",ur.01313456617.76
James Lemos,"['ur.01016045030.57', 'ur.01143577045.07', 'ur.014103013640.24']",ur.01016045030.57
